Container, 0, 0, 0, 1.60549, 1.60549, 0
Container, 0, MPI, 0, 1.60549, 1.60549, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 0.799819, 0.799819, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 0.799819, 1.605489, 0.805670, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 0.797868, 0.797868, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 0.797868, 1.605489, 0.807621, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 0.795917, 0.795917, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 0.795917, 1.605489, 0.809572, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 0.793966, 0.793966, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 0.793966, 1.605489, 0.811523, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 0.792015, 0.792015, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 0.792015, 1.605489, 0.813474, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 0.790065, 0.790065, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 0.790065, 1.605489, 0.815424, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 0.788114, 0.788114, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 0.788114, 1.605489, 0.817375, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-91
State, rank-91, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-91, MPI_STATE, 0.000000, 0.786163, 0.786163, 0.000000, PMPI_Allreduce
State, rank-91, MPI_STATE, 0.786163, 1.605489, 0.819326, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-90
State, rank-90, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-90, MPI_STATE, 0.000000, 0.784212, 0.784212, 0.000000, PMPI_Allreduce
State, rank-90, MPI_STATE, 0.784212, 1.605489, 0.821277, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-89
State, rank-89, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-89, MPI_STATE, 0.000000, 0.782262, 0.782262, 0.000000, PMPI_Allreduce
State, rank-89, MPI_STATE, 0.782262, 1.605489, 0.823227, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.624249, 0.624249, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.624249, 1.605489, 0.981240, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-88
State, rank-88, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-88, MPI_STATE, 0.000000, 0.780311, 0.780311, 0.000000, PMPI_Allreduce
State, rank-88, MPI_STATE, 0.780311, 1.605489, 0.825178, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.60549, 1.60549, rank-87
State, rank-87, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-87, MPI_STATE, 0.000000, 0.778360, 0.778360, 0.000000, PMPI_Allreduce
