Container, 0, 0, 0, 21.6352, 21.6352, 0
Container, 0, MPI, 0, 21.6352, 21.6352, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 12.766490, 12.766490, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 12.766490, 21.635246, 8.868756, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 12.710001, 12.710001, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 12.710001, 21.635246, 8.925245, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 12.653512, 12.653512, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 12.653512, 21.635246, 8.981734, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 12.597023, 12.597023, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 12.597023, 21.635246, 9.038223, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 12.540534, 12.540534, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 12.540534, 21.635246, 9.094712, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 12.484046, 12.484046, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 12.484046, 21.635246, 9.151200, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 12.427557, 12.427557, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 12.427557, 21.635246, 9.207689, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-91
State, rank-91, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-91, MPI_STATE, 0.000000, 12.371068, 12.371068, 0.000000, PMPI_Allreduce
State, rank-91, MPI_STATE, 12.371068, 21.635246, 9.264178, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-90
State, rank-90, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-90, MPI_STATE, 0.000000, 12.314579, 12.314579, 0.000000, PMPI_Allreduce
State, rank-90, MPI_STATE, 12.314579, 21.635246, 9.320667, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-89
State, rank-89, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-89, MPI_STATE, 0.000000, 12.258090, 12.258090, 0.000000, PMPI_Allreduce
State, rank-89, MPI_STATE, 12.258090, 21.635246, 9.377156, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 7.682490, 7.682490, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 7.682490, 21.635246, 13.952756, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-88
State, rank-88, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-88, MPI_STATE, 0.000000, 12.201601, 12.201601, 0.000000, PMPI_Allreduce
State, rank-88, MPI_STATE, 12.201601, 21.635246, 9.433645, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-87
State, rank-87, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-87, MPI_STATE, 0.000000, 12.145112, 12.145112, 0.000000, PMPI_Allreduce
State, rank-87, MPI_STATE, 12.145112, 21.635246, 9.490134, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 21.6352, 21.6352, rank-86
State, rank-86, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
