Container, 0, 0, 0, 5.7419, 5.7419, 0
Container, 0, MPI, 0, 5.7419, 5.7419, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 2.840728, 2.840728, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 2.840728, 5.741896, 2.901168, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 5.7419, 5.7419, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 2.780287, 2.780287, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 2.780287, 5.741896, 2.961609, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 5.7419, 5.7419, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 2.719846, 2.719846, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 2.719846, 5.741896, 3.022050, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 5.7419, 5.7419, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 3.747343, 3.747343, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 3.747343, 5.741896, 1.994553, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 5.7419, 5.7419, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 3.686902, 3.686902, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 3.686902, 5.741896, 2.054994, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 5.7419, 5.7419, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 3.626461, 3.626461, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 3.626461, 5.741896, 2.115435, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 5.7419, 5.7419, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 3.566020, 3.566020, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 3.566020, 5.741896, 2.175876, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 5.7419, 5.7419, rank-91
State, rank-91, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-91, MPI_STATE, 0.000000, 3.505579, 3.505579, 0.000000, PMPI_Allreduce
State, rank-91, MPI_STATE, 3.505579, 5.741896, 2.236317, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 5.7419, 5.7419, rank-90
State, rank-90, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-90, MPI_STATE, 0.000000, 3.445138, 3.445138, 0.000000, PMPI_Allreduce
State, rank-90, MPI_STATE, 3.445138, 5.741896, 2.296758, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 5.7419, 5.7419, rank-89
State, rank-89, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
