Container, 0, 0, 0, 48.165, 48.165, 0
Container, 0, MPI, 0, 48.165, 48.165, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 23.994696, 23.994696, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 23.994696, 48.164963, 24.170267, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 23.936172, 23.936172, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 23.936172, 48.164963, 24.228791, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 23.877649, 23.877649, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 23.877649, 48.164963, 24.287314, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 23.819125, 23.819125, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 23.819125, 48.164963, 24.345838, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 23.760601, 23.760601, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 23.760601, 48.164963, 24.404362, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 23.702078, 23.702078, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 23.702078, 48.164963, 24.462885, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 23.643554, 23.643554, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 23.643554, 48.164963, 24.521409, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-91
State, rank-91, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-91, MPI_STATE, 0.000000, 23.585030, 23.585030, 0.000000, PMPI_Allreduce
State, rank-91, MPI_STATE, 23.585030, 48.164963, 24.579933, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-90
State, rank-90, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-90, MPI_STATE, 0.000000, 23.526507, 23.526507, 0.000000, PMPI_Allreduce
State, rank-90, MPI_STATE, 23.526507, 48.164963, 24.638456, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-89
State, rank-89, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-89, MPI_STATE, 0.000000, 23.467983, 23.467983, 0.000000, PMPI_Allreduce
State, rank-89, MPI_STATE, 23.467983, 48.164963, 24.696980, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 18.727567, 18.727567, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 18.727567, 48.164963, 29.437396, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-88
State, rank-88, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-88, MPI_STATE, 0.000000, 23.409459, 23.409459, 0.000000, PMPI_Allreduce
State, rank-88, MPI_STATE, 23.409459, 48.164963, 24.755504, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-87
State, rank-87, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-87, MPI_STATE, 0.000000, 23.350936, 23.350936, 0.000000, PMPI_Allreduce
State, rank-87, MPI_STATE, 23.350936, 48.164963, 24.814027, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-86
State, rank-86, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-86, MPI_STATE, 0.000000, 23.292412, 23.292412, 0.000000, PMPI_Allreduce
State, rank-86, MPI_STATE, 23.292412, 48.164963, 24.872551, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-85
State, rank-85, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-85, MPI_STATE, 0.000000, 23.233888, 23.233888, 0.000000, PMPI_Allreduce
State, rank-85, MPI_STATE, 23.233888, 48.164963, 24.931075, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-84
State, rank-84, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-84, MPI_STATE, 0.000000, 23.175365, 23.175365, 0.000000, PMPI_Allreduce
State, rank-84, MPI_STATE, 23.175365, 48.164963, 24.989598, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 48.165, 48.165, rank-83
State, rank-83, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
