Container, 0, 0, 0, 0.585233, 0.585233, 0
Container, 0, MPI, 0, 0.585233, 0.585233, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.351140, 0.351140, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.351140, 0.585233, 0.234093, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.468186, 0.468186, 0.000000, PMPI_Allreduce
State, rank-7, MPI_STATE, 0.468186, 0.585233, 0.117047, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.409663, 0.409663, 0.000000, PMPI_Allreduce
State, rank-6, MPI_STATE, 0.409663, 0.585233, 0.175570, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000000, 0.351140, 0.351140, 0.000000, PMPI_Allreduce
State, rank-5, MPI_STATE, 0.351140, 0.585233, 0.234093, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 0.292617, 0.292617, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.292617, 0.585233, 0.292616, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.409663, 0.409663, 0.000000, PMPI_Allreduce
State, rank-3, MPI_STATE, 0.409663, 0.585233, 0.175570, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000000, 0.351140, 0.351140, 0.000000, PMPI_Allreduce
State, rank-2, MPI_STATE, 0.351140, 0.585233, 0.234093, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000000, 0.292617, 0.292617, 0.000000, PMPI_Allreduce
State, rank-1, MPI_STATE, 0.292617, 0.585233, 0.292616, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-15
State, rank-15, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-15, MPI_STATE, 0.000000, 0.585233, 0.585233, 0.000000, PMPI_Allreduce
State, rank-15, MPI_STATE, 0.585233, 0.585233, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-14
State, rank-14, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-14, MPI_STATE, 0.000000, 0.526710, 0.526710, 0.000000, PMPI_Allreduce
State, rank-14, MPI_STATE, 0.526710, 0.585233, 0.058523, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-13
State, rank-13, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-13, MPI_STATE, 0.000000, 0.468186, 0.468186, 0.000000, PMPI_Allreduce
State, rank-13, MPI_STATE, 0.468186, 0.585233, 0.117047, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-12
State, rank-12, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-12, MPI_STATE, 0.000000, 0.409663, 0.409663, 0.000000, PMPI_Allreduce
State, rank-12, MPI_STATE, 0.409663, 0.585233, 0.175570, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-11
State, rank-11, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-11, MPI_STATE, 0.000000, 0.526710, 0.526710, 0.000000, PMPI_Allreduce
State, rank-11, MPI_STATE, 0.526710, 0.585233, 0.058523, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-10
State, rank-10, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-10, MPI_STATE, 0.000000, 0.468186, 0.468186, 0.000000, PMPI_Allreduce
State, rank-10, MPI_STATE, 0.468186, 0.585233, 0.117047, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-9
State, rank-9, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-9, MPI_STATE, 0.000000, 0.409663, 0.409663, 0.000000, PMPI_Allreduce
State, rank-9, MPI_STATE, 0.409663, 0.585233, 0.175570, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.585233, 0.585233, rank-0
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-0, MPI_STATE, 0.000000, 0.234093, 0.234093, 0.000000, PMPI_Allreduce
State, rank-0, MPI_STATE, 0.234093, 0.585233, 0.351140, 0.000000, PMPI_Finalize
