Container, 0, 0, 0, 49.7423, 49.7423, 0
Container, 0, MPI, 0, 49.7423, 49.7423, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 24.780500, 24.780500, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 24.780500, 49.742320, 24.961820, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 24.720059, 24.720059, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 24.720059, 49.742320, 25.022261, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 24.659619, 24.659619, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 24.659619, 49.742320, 25.082701, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 24.599179, 24.599179, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 24.599179, 49.742320, 25.143141, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 24.538739, 24.538739, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 24.538739, 49.742320, 25.203581, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 24.478298, 24.478298, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 24.478298, 49.742320, 25.264022, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 24.417858, 24.417858, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 24.417858, 49.742320, 25.324462, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-91
State, rank-91, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-91, MPI_STATE, 0.000000, 24.357418, 24.357418, 0.000000, PMPI_Allreduce
State, rank-91, MPI_STATE, 24.357418, 49.742320, 25.384902, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-90
State, rank-90, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-90, MPI_STATE, 0.000000, 24.296978, 24.296978, 0.000000, PMPI_Allreduce
State, rank-90, MPI_STATE, 24.296978, 49.742320, 25.445342, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-89
State, rank-89, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-89, MPI_STATE, 0.000000, 24.236537, 24.236537, 0.000000, PMPI_Allreduce
State, rank-89, MPI_STATE, 24.236537, 49.742320, 25.505783, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 19.340878, 19.340878, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 19.340878, 49.742320, 30.401442, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 49.7423, 49.7423, rank-88
State, rank-88, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-88, MPI_STATE, 0.000000, 24.176097, 24.176097, 0.000000, PMPI_Allreduce
State, rank-88, MPI_STATE, 24.176097, 49.742320, 25.566223, 0.000000, PMPI_Finalize
