Container, 0, 0, 0, 0.04634, 0.04634, 0
Container, 0, MPI, 0, 0.04634, 0.04634, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.032237, 0.032237, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.032237, 0.046340, 0.014103, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.030222, 0.030222, 0.000000, PMPI_Allreduce
State, rank-7, MPI_STATE, 0.030222, 0.046340, 0.016118, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.028207, 0.028207, 0.000000, PMPI_Allreduce
State, rank-6, MPI_STATE, 0.028207, 0.046340, 0.018133, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000000, 0.026192, 0.026192, 0.000000, PMPI_Allreduce
State, rank-5, MPI_STATE, 0.026192, 0.046340, 0.020148, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 0.024178, 0.024178, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.024178, 0.046340, 0.022162, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.022163, 0.022163, 0.000000, PMPI_Allreduce
State, rank-3, MPI_STATE, 0.022163, 0.046340, 0.024177, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000000, 0.020148, 0.020148, 0.000000, PMPI_Allreduce
State, rank-2, MPI_STATE, 0.020148, 0.046340, 0.026192, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000000, 0.018133, 0.018133, 0.000000, PMPI_Allreduce
State, rank-1, MPI_STATE, 0.018133, 0.046340, 0.028207, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-15
State, rank-15, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-15, MPI_STATE, 0.000000, 0.046340, 0.046340, 0.000000, PMPI_Allreduce
State, rank-15, MPI_STATE, 0.046340, 0.046340, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-14
State, rank-14, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-14, MPI_STATE, 0.000000, 0.044325, 0.044325, 0.000000, PMPI_Allreduce
State, rank-14, MPI_STATE, 0.044325, 0.046340, 0.002015, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-13
State, rank-13, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-13, MPI_STATE, 0.000000, 0.042311, 0.042311, 0.000000, PMPI_Allreduce
State, rank-13, MPI_STATE, 0.042311, 0.046340, 0.004029, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-12
State, rank-12, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-12, MPI_STATE, 0.000000, 0.040296, 0.040296, 0.000000, PMPI_Allreduce
State, rank-12, MPI_STATE, 0.040296, 0.046340, 0.006044, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-11
State, rank-11, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-11, MPI_STATE, 0.000000, 0.038281, 0.038281, 0.000000, PMPI_Allreduce
State, rank-11, MPI_STATE, 0.038281, 0.046340, 0.008059, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-10
State, rank-10, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-10, MPI_STATE, 0.000000, 0.036266, 0.036266, 0.000000, PMPI_Allreduce
State, rank-10, MPI_STATE, 0.036266, 0.046340, 0.010074, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-9
State, rank-9, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-9, MPI_STATE, 0.000000, 0.034251, 0.034251, 0.000000, PMPI_Allreduce
State, rank-9, MPI_STATE, 0.034251, 0.046340, 0.012089, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.04634, 0.04634, rank-0
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-0, MPI_STATE, 0.000000, 0.016118, 0.016118, 0.000000, PMPI_Allreduce
State, rank-0, MPI_STATE, 0.016118, 0.046340, 0.030222, 0.000000, PMPI_Finalize
