Container, 0, 0, 0, 0.747148, 0.747148, 0
Container, 0, MPI, 0, 0.747148, 0.747148, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 0.440876, 0.440876, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 0.440876, 0.747148, 0.306272, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.747148, 0.747148, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 0.438925, 0.438925, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 0.438925, 0.747148, 0.308223, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.747148, 0.747148, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 0.436974, 0.436974, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 0.436974, 0.747148, 0.310174, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.747148, 0.747148, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 0.435023, 0.435023, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 0.435023, 0.747148, 0.312125, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.747148, 0.747148, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 0.433072, 0.433072, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 0.433072, 0.747148, 0.314076, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.747148, 0.747148, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 0.431122, 0.431122, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 0.431122, 0.747148, 0.316026, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.747148, 0.747148, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 0.429171, 0.429171, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 0.429171, 0.747148, 0.317977, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.747148, 0.747148, rank-91
State, rank-91, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-91, MPI_STATE, 0.000000, 0.427220, 0.427220, 0.000000, PMPI_Allreduce
State, rank-91, MPI_STATE, 0.427220, 0.747148, 0.319928, 0.000000, PMPI_Finalize
