Container, 0, 0, 0, 1.57332, 1.57332, 0
Container, 0, MPI, 0, 1.57332, 1.57332, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.104888, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.104888, 0.209776, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.209776, 0.314664, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.314664, 0.419552, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.419552, 0.524439, 0.104887, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.524439, 0.629327, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.629327, 0.734215, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.734215, 0.839103, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.839103, 0.943991, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.943991, 1.048879, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 1.048879, 1.153767, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 1.153767, 1.258654, 0.104887, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 1.258654, 1.363542, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 1.363542, 1.468430, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 1.468430, 1.573318, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 1.573318, 1.573318, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.57332, 1.57332, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.104888, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.104888, 0.209776, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.209776, 0.314664, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.314664, 0.419552, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.419552, 0.524439, 0.104887, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.524439, 0.629327, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.629327, 0.734215, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.734215, 0.839103, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.839103, 0.943991, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.943991, 1.048879, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 1.048879, 1.153767, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 1.153767, 1.258654, 0.104887, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 1.258654, 1.363542, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 1.363542, 1.468430, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 1.468430, 1.573318, 0.104888, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 1.573318, 1.573318, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.57332, 1.57332, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.104888, 0.104888, 0.000000, PMPI_Sendrecv
