Container, 0, 0, 0, 0.604402, 0.604402, 0
Container, 0, MPI, 0, 0.604402, 0.604402, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.362641, 0.362641, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.362641, 0.604402, 0.241761, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.604402, 0.604402, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.483522, 0.483522, 0.000000, PMPI_Allreduce
State, rank-7, MPI_STATE, 0.483522, 0.604402, 0.120880, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.604402, 0.604402, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.423082, 0.423082, 0.000000, PMPI_Allreduce
State, rank-6, MPI_STATE, 0.423082, 0.604402, 0.181320, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.604402, 0.604402, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000000, 0.362641, 0.362641, 0.000000, PMPI_Allreduce
State, rank-5, MPI_STATE, 0.362641, 0.604402, 0.241761, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.604402, 0.604402, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 0.302201, 0.302201, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.302201, 0.604402, 0.302201, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.604402, 0.604402, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.423082, 0.423082, 0.000000, PMPI_Allreduce
State, rank-3, MPI_STATE, 0.423082, 0.604402, 0.181320, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.604402, 0.604402, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000000, 0.362641, 0.362641, 0.000000, PMPI_Allreduce
State, rank-2, MPI_STATE, 0.362641, 0.604402, 0.241761, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.604402, 0.604402, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000000, 0.302201, 0.302201, 0.000000, PMPI_Allreduce
State, rank-1, MPI_STATE, 0.302201, 0.604402, 0.302201, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.604402, 0.604402, rank-15
State, rank-15, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-15, MPI_STATE, 0.000000, 0.604402, 0.604402, 0.000000, PMPI_Allreduce
State, rank-15, MPI_STATE, 0.604402, 0.604402, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.604402, 0.604402, rank-14
