Container, 0, 0, 0, 1.6055, 1.6055, 0
Container, 0, MPI, 0, 1.6055, 1.6055, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 0.799823, 0.799823, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 0.799823, 1.605499, 0.805676, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 0.797872, 0.797872, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 0.797872, 1.605499, 0.807627, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 0.795922, 0.795922, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 0.795922, 1.605499, 0.809577, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 0.793971, 0.793971, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 0.793971, 1.605499, 0.811528, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 0.792020, 0.792020, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 0.792020, 1.605499, 0.813479, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 0.790069, 0.790069, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 0.790069, 1.605499, 0.815430, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 0.788118, 0.788118, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 0.788118, 1.605499, 0.817381, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-91
State, rank-91, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-91, MPI_STATE, 0.000000, 0.786168, 0.786168, 0.000000, PMPI_Allreduce
State, rank-91, MPI_STATE, 0.786168, 1.605499, 0.819331, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-90
State, rank-90, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-90, MPI_STATE, 0.000000, 0.784217, 0.784217, 0.000000, PMPI_Allreduce
State, rank-90, MPI_STATE, 0.784217, 1.605499, 0.821282, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-89
State, rank-89, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-89, MPI_STATE, 0.000000, 0.782266, 0.782266, 0.000000, PMPI_Allreduce
State, rank-89, MPI_STATE, 0.782266, 1.605499, 0.823233, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.624252, 0.624252, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.624252, 1.605499, 0.981247, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-88
State, rank-88, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-88, MPI_STATE, 0.000000, 0.780315, 0.780315, 0.000000, PMPI_Allreduce
State, rank-88, MPI_STATE, 0.780315, 1.605499, 0.825184, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-87
State, rank-87, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-87, MPI_STATE, 0.000000, 0.778365, 0.778365, 0.000000, PMPI_Allreduce
State, rank-87, MPI_STATE, 0.778365, 1.605499, 0.827134, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-86
State, rank-86, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-86, MPI_STATE, 0.000000, 0.776414, 0.776414, 0.000000, PMPI_Allreduce
State, rank-86, MPI_STATE, 0.776414, 1.605499, 0.829085, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-85
State, rank-85, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-85, MPI_STATE, 0.000000, 0.774463, 0.774463, 0.000000, PMPI_Allreduce
State, rank-85, MPI_STATE, 0.774463, 1.605499, 0.831036, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.6055, 1.6055, rank-84
State, rank-84, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
