Container, 0, 0, 0, 0.043308, 0.043308, 0
Container, 0, MPI, 0, 0.043308, 0.043308, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.030127, 0.030127, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.030127, 0.043308, 0.013181, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.028244, 0.028244, 0.000000, PMPI_Allreduce
State, rank-7, MPI_STATE, 0.028244, 0.043308, 0.015064, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.026361, 0.026361, 0.000000, PMPI_Allreduce
State, rank-6, MPI_STATE, 0.026361, 0.043308, 0.016947, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000000, 0.024479, 0.024479, 0.000000, PMPI_Allreduce
State, rank-5, MPI_STATE, 0.024479, 0.043308, 0.018829, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 0.022596, 0.022596, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.022596, 0.043308, 0.020712, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.020713, 0.020713, 0.000000, PMPI_Allreduce
State, rank-3, MPI_STATE, 0.020713, 0.043308, 0.022595, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000000, 0.018830, 0.018830, 0.000000, PMPI_Allreduce
State, rank-2, MPI_STATE, 0.018830, 0.043308, 0.024478, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000000, 0.016947, 0.016947, 0.000000, PMPI_Allreduce
State, rank-1, MPI_STATE, 0.016947, 0.043308, 0.026361, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-15
State, rank-15, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-15, MPI_STATE, 0.000000, 0.043308, 0.043308, 0.000000, PMPI_Allreduce
State, rank-15, MPI_STATE, 0.043308, 0.043308, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-14
State, rank-14, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-14, MPI_STATE, 0.000000, 0.041425, 0.041425, 0.000000, PMPI_Allreduce
State, rank-14, MPI_STATE, 0.041425, 0.043308, 0.001883, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-13
State, rank-13, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-13, MPI_STATE, 0.000000, 0.039542, 0.039542, 0.000000, PMPI_Allreduce
State, rank-13, MPI_STATE, 0.039542, 0.043308, 0.003766, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-12
State, rank-12, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-12, MPI_STATE, 0.000000, 0.037659, 0.037659, 0.000000, PMPI_Allreduce
State, rank-12, MPI_STATE, 0.037659, 0.043308, 0.005649, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.043308, 0.043308, rank-11
