Container, 0, 0, 0, 0.779328, 0.779328, 0
Container, 0, MPI, 0, 0.779328, 0.779328, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.467597, 0.467597, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.467597, 0.779328, 0.311731, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.623462, 0.623462, 0.000000, PMPI_Allreduce
State, rank-7, MPI_STATE, 0.623462, 0.779328, 0.155866, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.545529, 0.545529, 0.000000, PMPI_Allreduce
State, rank-6, MPI_STATE, 0.545529, 0.779328, 0.233799, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000000, 0.467597, 0.467597, 0.000000, PMPI_Allreduce
State, rank-5, MPI_STATE, 0.467597, 0.779328, 0.311731, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 0.389664, 0.389664, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.389664, 0.779328, 0.389664, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.545529, 0.545529, 0.000000, PMPI_Allreduce
State, rank-3, MPI_STATE, 0.545529, 0.779328, 0.233799, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000000, 0.467597, 0.467597, 0.000000, PMPI_Allreduce
State, rank-2, MPI_STATE, 0.467597, 0.779328, 0.311731, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000000, 0.389664, 0.389664, 0.000000, PMPI_Allreduce
State, rank-1, MPI_STATE, 0.389664, 0.779328, 0.389664, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-15
State, rank-15, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-15, MPI_STATE, 0.000000, 0.779328, 0.779328, 0.000000, PMPI_Allreduce
State, rank-15, MPI_STATE, 0.779328, 0.779328, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-14
State, rank-14, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-14, MPI_STATE, 0.000000, 0.701395, 0.701395, 0.000000, PMPI_Allreduce
State, rank-14, MPI_STATE, 0.701395, 0.779328, 0.077933, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-13
State, rank-13, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-13, MPI_STATE, 0.000000, 0.623462, 0.623462, 0.000000, PMPI_Allreduce
State, rank-13, MPI_STATE, 0.623462, 0.779328, 0.155866, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-12
State, rank-12, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-12, MPI_STATE, 0.000000, 0.545529, 0.545529, 0.000000, PMPI_Allreduce
State, rank-12, MPI_STATE, 0.545529, 0.779328, 0.233799, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-11
State, rank-11, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-11, MPI_STATE, 0.000000, 0.701395, 0.701395, 0.000000, PMPI_Allreduce
State, rank-11, MPI_STATE, 0.701395, 0.779328, 0.077933, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-10
State, rank-10, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-10, MPI_STATE, 0.000000, 0.623462, 0.623462, 0.000000, PMPI_Allreduce
State, rank-10, MPI_STATE, 0.623462, 0.779328, 0.155866, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-9
State, rank-9, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-9, MPI_STATE, 0.000000, 0.545529, 0.545529, 0.000000, PMPI_Allreduce
State, rank-9, MPI_STATE, 0.545529, 0.779328, 0.233799, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.779328, 0.779328, rank-0
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-0, MPI_STATE, 0.000000, 0.311731, 0.311731, 0.000000, PMPI_Allreduce
State, rank-0, MPI_STATE, 0.311731, 0.779328, 0.467597, 0.000000, PMPI_Finalize
