Container, 0, 0, 0, 40.1721, 40.1721, 0
Container, 0, MPI, 0, 40.1721, 40.1721, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 23.704660, 23.704660, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 23.704660, 40.172056, 16.467396, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 23.599772, 23.599772, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 23.599772, 40.172056, 16.572284, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 23.494884, 23.494884, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 23.494884, 40.172056, 16.677172, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 23.389996, 23.389996, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 23.389996, 40.172056, 16.782060, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 23.285108, 23.285108, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 23.285108, 40.172056, 16.886948, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 23.180220, 23.180220, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 23.180220, 40.172056, 16.991836, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 23.075332, 23.075332, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 23.075332, 40.172056, 17.096724, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-91
State, rank-91, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-91, MPI_STATE, 0.000000, 22.970445, 22.970445, 0.000000, PMPI_Allreduce
State, rank-91, MPI_STATE, 22.970445, 40.172056, 17.201611, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-90
State, rank-90, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-90, MPI_STATE, 0.000000, 22.865557, 22.865557, 0.000000, PMPI_Allreduce
State, rank-90, MPI_STATE, 22.865557, 40.172056, 17.306499, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-89
State, rank-89, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-89, MPI_STATE, 0.000000, 22.760669, 22.760669, 0.000000, PMPI_Allreduce
State, rank-89, MPI_STATE, 22.760669, 40.172056, 17.411387, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 14.264751, 14.264751, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 14.264751, 40.172056, 25.907305, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-88
State, rank-88, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-88, MPI_STATE, 0.000000, 22.655781, 22.655781, 0.000000, PMPI_Allreduce
State, rank-88, MPI_STATE, 22.655781, 40.172056, 17.516275, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-87
State, rank-87, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-87, MPI_STATE, 0.000000, 22.550893, 22.550893, 0.000000, PMPI_Allreduce
State, rank-87, MPI_STATE, 22.550893, 40.172056, 17.621163, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-86
State, rank-86, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-86, MPI_STATE, 0.000000, 22.446005, 22.446005, 0.000000, PMPI_Allreduce
State, rank-86, MPI_STATE, 22.446005, 40.172056, 17.726051, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-85
State, rank-85, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-85, MPI_STATE, 0.000000, 22.341117, 22.341117, 0.000000, PMPI_Allreduce
State, rank-85, MPI_STATE, 22.341117, 40.172056, 17.830939, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-84
State, rank-84, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-84, MPI_STATE, 0.000000, 22.236229, 22.236229, 0.000000, PMPI_Allreduce
State, rank-84, MPI_STATE, 22.236229, 40.172056, 17.935827, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-83
State, rank-83, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-83, MPI_STATE, 0.000000, 22.131342, 22.131342, 0.000000, PMPI_Allreduce
State, rank-83, MPI_STATE, 22.131342, 40.172056, 18.040714, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-82
State, rank-82, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-82, MPI_STATE, 0.000000, 22.026454, 22.026454, 0.000000, PMPI_Allreduce
State, rank-82, MPI_STATE, 22.026454, 40.172056, 18.145602, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-81
State, rank-81, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-81, MPI_STATE, 0.000000, 21.921566, 21.921566, 0.000000, PMPI_Allreduce
State, rank-81, MPI_STATE, 21.921566, 40.172056, 18.250490, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 40.1721, 40.1721, rank-80
