Container, 0, 0, 0, 0.906605, 0.906605, 0
Container, 0, MPI, 0, 0.906605, 0.906605, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.060440, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.060440, 0.120881, 0.060441, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.120881, 0.181321, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.181321, 0.241761, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.241761, 0.302202, 0.060441, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.302202, 0.362642, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.362642, 0.423082, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.423082, 0.483523, 0.060441, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.483523, 0.543963, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.543963, 0.604403, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.604403, 0.664844, 0.060441, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.664844, 0.725284, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.725284, 0.785724, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.785724, 0.846165, 0.060441, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.846165, 0.906605, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-8, MPI_STATE, 0.906605, 0.906605, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.906605, 0.906605, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.060440, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.060440, 0.120881, 0.060441, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.120881, 0.181321, 0.060440, 0.000000, PMPI_Sendrecv
State, rank-7, MPI_STATE, 0.181321, 0.241761, 0.060440, 0.000000, PMPI_Sendrecv
