Container, 0, 0, 0, 0.020147, 0.020147, 0
Container, 0, MPI, 0, 0.020147, 0.020147, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.012088, 0.012088, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.012088, 0.020147, 0.008059, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.016117, 0.016117, 0.000000, PMPI_Allreduce
State, rank-7, MPI_STATE, 0.016117, 0.020147, 0.004030, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.014103, 0.014103, 0.000000, PMPI_Allreduce
State, rank-6, MPI_STATE, 0.014103, 0.020147, 0.006044, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000000, 0.012088, 0.012088, 0.000000, PMPI_Allreduce
State, rank-5, MPI_STATE, 0.012088, 0.020147, 0.008059, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 0.010073, 0.010073, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.010073, 0.020147, 0.010074, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.014103, 0.014103, 0.000000, PMPI_Allreduce
State, rank-3, MPI_STATE, 0.014103, 0.020147, 0.006044, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000000, 0.012088, 0.012088, 0.000000, PMPI_Allreduce
State, rank-2, MPI_STATE, 0.012088, 0.020147, 0.008059, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000000, 0.010073, 0.010073, 0.000000, PMPI_Allreduce
State, rank-1, MPI_STATE, 0.010073, 0.020147, 0.010074, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-15
State, rank-15, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-15, MPI_STATE, 0.000000, 0.020147, 0.020147, 0.000000, PMPI_Allreduce
State, rank-15, MPI_STATE, 0.020147, 0.020147, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-14
State, rank-14, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-14, MPI_STATE, 0.000000, 0.018132, 0.018132, 0.000000, PMPI_Allreduce
State, rank-14, MPI_STATE, 0.018132, 0.020147, 0.002015, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-13
State, rank-13, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-13, MPI_STATE, 0.000000, 0.016117, 0.016117, 0.000000, PMPI_Allreduce
State, rank-13, MPI_STATE, 0.016117, 0.020147, 0.004030, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.020147, 0.020147, rank-12
