Container, 0, 0, 0, 0.77163, 0.77163, 0
Container, 0, MPI, 0, 0.77163, 0.77163, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 0.455322, 0.455322, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 0.455322, 0.771630, 0.316308, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 0.453308, 0.453308, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 0.453308, 0.771630, 0.318322, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 0.451293, 0.451293, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 0.451293, 0.771630, 0.320337, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 0.449278, 0.449278, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 0.449278, 0.771630, 0.322352, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 0.447264, 0.447264, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 0.447264, 0.771630, 0.324366, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 0.445249, 0.445249, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 0.445249, 0.771630, 0.326381, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 0.443234, 0.443234, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 0.443234, 0.771630, 0.328396, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-91
State, rank-91, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-91, MPI_STATE, 0.000000, 0.441219, 0.441219, 0.000000, PMPI_Allreduce
State, rank-91, MPI_STATE, 0.441219, 0.771630, 0.330411, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-90
State, rank-90, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-90, MPI_STATE, 0.000000, 0.439205, 0.439205, 0.000000, PMPI_Allreduce
State, rank-90, MPI_STATE, 0.439205, 0.771630, 0.332425, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-89
State, rank-89, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-89, MPI_STATE, 0.000000, 0.437190, 0.437190, 0.000000, PMPI_Allreduce
State, rank-89, MPI_STATE, 0.437190, 0.771630, 0.334440, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.273999, 0.273999, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.273999, 0.771630, 0.497631, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-88
State, rank-88, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-88, MPI_STATE, 0.000000, 0.435175, 0.435175, 0.000000, PMPI_Allreduce
State, rank-88, MPI_STATE, 0.435175, 0.771630, 0.336455, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-87
State, rank-87, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-87, MPI_STATE, 0.000000, 0.433161, 0.433161, 0.000000, PMPI_Allreduce
State, rank-87, MPI_STATE, 0.433161, 0.771630, 0.338469, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-86
State, rank-86, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-86, MPI_STATE, 0.000000, 0.431146, 0.431146, 0.000000, PMPI_Allreduce
State, rank-86, MPI_STATE, 0.431146, 0.771630, 0.340484, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-85
State, rank-85, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-85, MPI_STATE, 0.000000, 0.429131, 0.429131, 0.000000, PMPI_Allreduce
State, rank-85, MPI_STATE, 0.429131, 0.771630, 0.342499, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-84
State, rank-84, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-84, MPI_STATE, 0.000000, 0.427117, 0.427117, 0.000000, PMPI_Allreduce
State, rank-84, MPI_STATE, 0.427117, 0.771630, 0.344513, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-83
State, rank-83, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-83, MPI_STATE, 0.000000, 0.425102, 0.425102, 0.000000, PMPI_Allreduce
State, rank-83, MPI_STATE, 0.425102, 0.771630, 0.346528, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-82
State, rank-82, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-82, MPI_STATE, 0.000000, 0.423087, 0.423087, 0.000000, PMPI_Allreduce
State, rank-82, MPI_STATE, 0.423087, 0.771630, 0.348543, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-81
State, rank-81, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-81, MPI_STATE, 0.000000, 0.421072, 0.421072, 0.000000, PMPI_Allreduce
State, rank-81, MPI_STATE, 0.421072, 0.771630, 0.350558, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-80
State, rank-80, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-80, MPI_STATE, 0.000000, 0.419058, 0.419058, 0.000000, PMPI_Allreduce
State, rank-80, MPI_STATE, 0.419058, 0.771630, 0.352572, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-79
State, rank-79, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-79, MPI_STATE, 0.000000, 0.417043, 0.417043, 0.000000, PMPI_Allreduce
State, rank-79, MPI_STATE, 0.417043, 0.771630, 0.354587, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.271985, 0.271985, 0.000000, PMPI_Allreduce
State, rank-7, MPI_STATE, 0.271985, 0.771630, 0.499645, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-78
State, rank-78, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-78, MPI_STATE, 0.000000, 0.415028, 0.415028, 0.000000, PMPI_Allreduce
State, rank-78, MPI_STATE, 0.415028, 0.771630, 0.356602, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-77
State, rank-77, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-77, MPI_STATE, 0.000000, 0.413014, 0.413014, 0.000000, PMPI_Allreduce
State, rank-77, MPI_STATE, 0.413014, 0.771630, 0.358616, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-76
State, rank-76, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-76, MPI_STATE, 0.000000, 0.410999, 0.410999, 0.000000, PMPI_Allreduce
State, rank-76, MPI_STATE, 0.410999, 0.771630, 0.360631, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.77163, 0.77163, rank-75
State, rank-75, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
