Container, 0, 0, 0, 1.29924, 1.29924, 0
Container, 0, MPI, 0, 1.29924, 1.29924, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.903822, 0.903822, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.903822, 1.299245, 0.395423, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.847333, 0.847333, 0.000000, PMPI_Allreduce
State, rank-7, MPI_STATE, 0.847333, 1.299245, 0.451912, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.790845, 0.790845, 0.000000, PMPI_Allreduce
State, rank-6, MPI_STATE, 0.790845, 1.299245, 0.508400, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000000, 0.734356, 0.734356, 0.000000, PMPI_Allreduce
State, rank-5, MPI_STATE, 0.734356, 1.299245, 0.564889, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 0.677867, 0.677867, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.677867, 1.299245, 0.621378, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.621378, 0.621378, 0.000000, PMPI_Allreduce
State, rank-3, MPI_STATE, 0.621378, 1.299245, 0.677867, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000000, 0.564889, 0.564889, 0.000000, PMPI_Allreduce
State, rank-2, MPI_STATE, 0.564889, 1.299245, 0.734356, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000000, 0.508400, 0.508400, 0.000000, PMPI_Allreduce
State, rank-1, MPI_STATE, 0.508400, 1.299245, 0.790845, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-15
State, rank-15, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-15, MPI_STATE, 0.000000, 1.299245, 1.299245, 0.000000, PMPI_Allreduce
State, rank-15, MPI_STATE, 1.299245, 1.299245, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-14
State, rank-14, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-14, MPI_STATE, 0.000000, 1.242756, 1.242756, 0.000000, PMPI_Allreduce
State, rank-14, MPI_STATE, 1.242756, 1.299245, 0.056489, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-13
State, rank-13, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-13, MPI_STATE, 0.000000, 1.186267, 1.186267, 0.000000, PMPI_Allreduce
State, rank-13, MPI_STATE, 1.186267, 1.299245, 0.112978, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-12
State, rank-12, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-12, MPI_STATE, 0.000000, 1.129778, 1.129778, 0.000000, PMPI_Allreduce
State, rank-12, MPI_STATE, 1.129778, 1.299245, 0.169467, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-11
State, rank-11, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-11, MPI_STATE, 0.000000, 1.073289, 1.073289, 0.000000, PMPI_Allreduce
State, rank-11, MPI_STATE, 1.073289, 1.299245, 0.225956, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 1.29924, 1.29924, rank-10
