Container, 0, 0, 0, 2.87742, 2.87742, 0
Container, 0, MPI, 0, 2.87742, 2.87742, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 1.433468, 1.433468, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 1.433468, 2.877424, 1.443956, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 2.87742, 2.87742, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 1.429971, 1.429971, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 1.429971, 2.877424, 1.447453, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 2.87742, 2.87742, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 1.426475, 1.426475, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 1.426475, 2.877424, 1.450949, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 2.87742, 2.87742, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 1.422979, 1.422979, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 1.422979, 2.877424, 1.454445, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 2.87742, 2.87742, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 1.419483, 1.419483, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 1.419483, 2.877424, 1.457941, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 2.87742, 2.87742, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 1.415986, 1.415986, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 1.415986, 2.877424, 1.461438, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 2.87742, 2.87742, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 1.412490, 1.412490, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 1.412490, 2.877424, 1.464934, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 2.87742, 2.87742, rank-91
